,cmte_id,cmte_nm,name,file_year,other_id,sum
0,C00193433,EMILY'S LIST,WOMEN VOTE,2020,C00473918,13700000.0
1,C00473918,WOMEN VOTE!,EMILY'S LIST,2020,C00193433,13700000.0
2,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,S2WA00387,6867969.0
3,C00473918,WOMEN VOTE!,LOCKWOOD STRATEGY INC.,2020,P80000722,5131500.0
4,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,S2NV00324,3822464.0
5,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S6ME00159,3668933.0
6,C00473918,WOMEN VOTE!,"PRECISION NETWORK, LLC",2016,P00003392,3515319.0
7,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S4IA00129,3127395.0
8,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,S2NC00505,3052838.0
9,C00473918,WOMEN VOTE!,SENATE MAJORITY PAC,2020,C00484642,3051809.0
10,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,S4NC00089,3027089.0
11,C00473918,WOMEN VOTE!,MUNDY KATOWITZ MEDIA,2016,S6MD03458,2934855.0
12,C00473918,WOMEN VOTE!,EMILY'S LIST,2012,C00193433,2756979.0
13,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,S6NV00218,2707270.0
14,C00473918,WOMEN VOTE!,EMILY'S LIST,2014,C00193433,2650000.0
15,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,S0NH00235,2590614.0
16,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,S0NH00326,2558477.0
17,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H8MI11254,2527546.0
18,C00473918,WOMEN VOTE!,"ADELSTEIN,LISTON,",2012,S2WI00235,2335536.0
19,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,P80001571,2314636.0
20,C00473918,WOMEN VOTE!,"PRECISION NETWORK, LLC",2016,P80001571,2262239.0
21,C00473918,WOMEN VOTE!,ADELSTEIN LISTON,2014,S4GA11285,2196587.0
22,C00473918,WOMEN VOTE!,RALSTON LAPP GUINN MEDIA,2022,S2WA00189,2098689.0
23,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,S4PA00121,2079196.0
24,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2014,S4NC00162,2033745.0
25,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S0KS00315,1852596.0
26,C00193433,EMILY'S LIST,WOMEN VOTE,2016,C00473918,1607675.0
27,C00473918,WOMEN VOTE!,EMILY'S LIST,2016,C00193433,1602721.0
28,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,S0PA00434,1542029.0
29,C00473918,WOMEN VOTE!,BUZZFEED INC,2016,P00003392,1500000.0
30,C00193433,EMILY'S LIST,TEXAS FORWARD,2020,C00731794,1251995.0
31,C00473918,WOMEN VOTE!,TARGETED PLATFORM MEDIA,2016,P80001571,1236508.0
32,C00193433,EMILY'S LIST,WOMEN VOTE,2012,C00473918,1156325.0
33,C00473918,WOMEN VOTE!,SHORR JOHNSON MAGNUS,2010,S0CA00330,1108000.0
34,C00473918,WOMEN VOTE!,ELECT DEMOCRATIC WOMEN,2020,C00685297,1100000.0
35,C00193433,EMILY'S LIST,WOMEN VOTE,2014,C00473918,1050000.0
36,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S2TX00106,988977.0
37,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S0IA00200,899587.0
38,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,S2NC00497,891455.0
39,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S0TX00233,879998.0
40,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H2MO02102,871196.0
41,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H2NC08185,827323.0
42,C30001754,WOMEN'S VOICES WOMEN VOTE ACTION FUND,THE NEW MEDIA FIRM INC.,2010,S0CO00237,823436.0
43,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0IN05326,804441.0
44,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H8NM02156,798769.0
45,C00473918,WOMEN VOTE!,SKDKNICKERBOCKER LLC,2022,S2WA00387,757122.0
46,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2IL13179,749728.0
47,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S0KS00323,741144.0
48,C00473918,WOMEN VOTE!,PRIORITIES USA ACTION AND EMILY'S LIST WOMEN VOTE! JOINT FUNDRAISING COMMITTEE,2016,C00591073,720000.0
49,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,H6NY01126,719050.0
50,C00473918,WOMEN VOTE!,AMBROSINO MUIR HANSAN CROUNSE,2016,S4PA00121,716220.0
51,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,S4IA00129,701326.0
52,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S0IA00176,699945.0
53,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2016,S6NV00218,632208.0
54,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0OK05205,610767.0
55,C00473918,WOMEN VOTE!,CANAL PARTNERS MEDIA,2020,H4IL03077,596672.0
56,C00473918,WOMEN VOTE!,"WATERFRONT STRATEGIES,",2012,S2NV00183,573707.0
57,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2LA02131,570997.0
58,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0NY02234,562301.0
59,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP, INC",2016,S0NH00235,561799.0
60,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2LA02149,525217.0
61,C00473918,WOMEN VOTE!,"WATERFRONT STRATEGIES,",2012,S2MO00429,516317.0
62,C00473918,WOMEN VOTE!,THE NEW MEDIA FIRM,2010,H0OH13136,500030.0
63,C00473918,WOMEN VOTE!,WORKING FOR US PAC,2016,C00430876,500000.0
64,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY INC,2020,S0KS00315,500000.0
65,C00473918,WOMEN VOTE!,AL MEDIA,2020,H0VA05178,497394.0
66,C00473918,WOMEN VOTE!,THE NEW MEDIA FIRM,2014,S4NH00120,484999.0
67,C00473918,WOMEN VOTE!,"MISSON CONTROL,",2012,S2WI00235,483496.0
68,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2TX23082,459094.0
69,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H8OH01043,456217.0
70,C00473918,WOMEN VOTE!,THE STRATEGY GROUP INC,2020,S6ME00159,449252.0
71,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H8TX21307,426816.0
72,C00473918,WOMEN VOTE!,TRILOGY INTERACTIVE LLC,2020,S0TX00233,422000.0
73,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0CO03165,411115.0
74,C00473918,WOMEN VOTE!,CANAL PARTNERS MEDIA,2020,H8IL03102,397781.0
75,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H4AR02141,391930.0
76,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC,",2012,S0MA00109,391734.0
77,C00473918,WOMEN VOTE!,THE PIVOT GROUP,2022,S2NV00324,390563.0
78,C00473918,WOMEN VOTE!,"ADELSTEIN,LISTON,",2012,S2WI00219,384918.0
79,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2CA26133,374462.0
80,C00473918,WOMEN VOTE!,THE PIVOT GROUP,2014,S4NC00162,370261.0
81,C00473918,WOMEN VOTE!,BULLY PULPIT INTERACTIVE LLC,2014,S4NC00162,352600.0
82,C00473918,WOMEN VOTE!,76 WORDS,2020,P80000722,350000.0
83,C00473918,WOMEN VOTE!,SCREEN STRATEGIES MEDIA,2014,H4ME02234,349828.0
84,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H4MT00050,348287.0
85,C00473918,WOMEN VOTE!,THE NEW MEDIA FIRM,2020,H0MA04192,345674.0
86,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,H0NM03102,344933.0
87,C00473918,WOMEN VOTE!,ABAR HUTTON MEDIA,2010,H0CO04122,343580.0
88,C00473918,WOMEN VOTE!,THE NEW MEDIA FIRM,2010,H0NV03058,335817.0
89,C00473918,WOMEN VOTE!,PERSIST PAC,2020,C00484642,335000.0
90,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H6NE02125,329804.0
91,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0MI03308,324300.0
92,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H8MI09118,316950.0
93,C00473918,WOMEN VOTE!,ADELSTEIN LISTON,2014,S4HI00144,312426.0
94,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP, INC",2016,S4PA00121,305542.0
95,C00473918,WOMEN VOTE!,WILDFIRE CONTACT,2020,S0KS00315,300000.0
96,C00473918,WOMEN VOTE!,AL MEDIA LLC,2016,H5WA07458,300000.0
97,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2014,S4NH00120,299997.0
98,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY LLC,2022,H8MI11254,295875.0
99,C00473918,WOMEN VOTE!,DELIVER STRATEGIES,2022,H2IL03162,295070.0
100,C00473918,WOMEN VOTE!,ABARHUTTON MEDIA,2010,H0CO04122,294000.0
101,C00473918,WOMEN VOTE!,HOUSE MAJORITY PAC,2016,C00495028,290600.0
102,C00473918,WOMEN VOTE!,SMART,2020,C00007542,290000.0
103,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY LLC,2022,H0KS03236,275000.0
104,C00473918,WOMEN VOTE!,UNITED FOOD AND COMMERCIAL WORKERS,2020,C00002766,275000.0
105,C00473918,WOMEN VOTE!,THE STRATEGY GROUP INC,2020,H0CA25105,269366.0
106,C00473918,WOMEN VOTE!,AL MEDIA,2020,H0FL26036,269000.0
107,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,H8FL26039,268718.0
108,C00473918,WOMEN VOTE!,"MEDIA STRATEGIES AND RESEARCH,",2012,H2CT05131,264999.0
109,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY INC,2020,H0CO03165,264300.0
110,C00473918,WOMEN VOTE!,AL MEDIA LLC,2016,H2CA35100,263703.0
111,C00473918,WOMEN VOTE!,AL MEDIA LLC,2016,H6CA44103,263703.0
112,C00473918,WOMEN VOTE!,"MOXIE MEDIA,",2012,S2NV00183,257043.0
113,C00473918,WOMEN VOTE!,COMMUNICATION WORKERS OF AMERICA COPE,2020,C00002089,250000.0
114,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY INC,2020,H0GA07273,250000.0
115,C00473918,WOMEN VOTE!,SENATE MAJORITY PAC,2014,C00484642,250000.0
116,C00473918,WOMEN VOTE!,AFSCME PAC,2016,C00011114,250000.0
117,C00473918,WOMEN VOTE!,PERSIST PAC,2020,C00739110,250000.0
118,C00473918,WOMEN VOTE!,GPS IMPACT,2016,P00003392,250000.0
119,C00473918,WOMEN VOTE!,KITCHEN TABLE CONVERSATIONS PAC,2020,C00738831,250000.0
120,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2IL13153,249909.0
121,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H4NY24073,249100.0
122,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H2IL13120,246310.0
123,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2OH09163,241658.0
124,C00473918,WOMEN VOTE!,COMMONSENSE TEN,2010,C00484642,240301.0
125,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP, INC",2016,H6MD08481,231388.0
126,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H8IA02043,230073.0
127,C00473918,WOMEN VOTE!,HOUSE MAJORITY PAC,2020,C00495028,229542.0
128,C00473918,WOMEN VOTE!,MISSION CONTROL,2014,H4FL13101,225481.0
129,C00473918,WOMEN VOTE!,"FOWLER, AMY",2016,,225000.0
130,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H0PA07132,222000.0
131,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,H4VA10089,219998.0
132,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY,2022,H2LA02131,216312.0
133,C00473918,WOMEN VOTE!,THE PIVOT GROUP,2014,H4MA05084,212944.0
134,C00473918,WOMEN VOTE!,MAP POLITICAL COMMUNICATION,2020,H0TX24175,209078.0
135,C00473918,WOMEN VOTE!,WILDFIRE CONTACT,2022,H2LA02131,208381.0
136,C00473918,WOMEN VOTE!,MISSION CONTROL,2010,S0MO00183,202300.0
137,C00473918,WOMEN VOTE!,PLANNED PARENTHOOD ACTION FUND,2020,C00314617,200000.0
138,C00473918,WOMEN VOTE!,SENATE MAJORITY PAC,2016,C00484642,200000.0
139,C00473918,WOMEN VOTE!,270 STRATEGIES,2016,C00607388,200000.0
140,C00473918,WOMEN VOTE!,WILDFIRE CONTACT,2022,H2LA02149,197885.0
141,C00473918,WOMEN VOTE!,PIVOT GROUP,2014,H4NC12100,196769.0
142,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2016,S6NV00200,195189.0
143,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,H0FL26036,193100.0
144,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,H4IA03115,192000.0
145,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H4AZ06045,190000.0
146,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0NC08254,189380.0
147,C00473918,WOMEN VOTE!,76 WORDS,2020,H0TX24209,186613.0
148,C00473918,WOMEN VOTE!,THE STRATEGY GROUP,2014,S4NH00120,184837.0
149,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,S6PA00266,179332.0
150,C00473918,WOMEN VOTE!,"MEDIA STRATEGIES AND RESEARCH,",2012,H0OR01095,176750.0
151,C00473918,WOMEN VOTE!,AMERICA VOTES ACTION FUND,2022,C00492520,176580.0
152,C00473918,WOMEN VOTE!,MAJORITY PAC,2012,C00484642,175000.0
153,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY,2022,H2LA02149,173687.0
154,C00473918,WOMEN VOTE!,AL MEDIA,2020,H0IA01174,170746.0
155,C00473918,WOMEN VOTE!,AMERICA VOTES ACTION FUND,2020,C00492520,170000.0
156,C00473918,WOMEN VOTE!,WILDFIRE CONTACT,2020,H0OK05205,167927.0
157,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC,",2012,H0FL08208,166757.0
158,C00473918,WOMEN VOTE!,"MISSION CONTROL, INC.",2020,H4MT00050,165336.0
159,C00473918,WOMEN VOTE!,"DELIVER STRATEGIES, LLC",2020,H6NE02125,162932.0
160,C00473918,WOMEN VOTE!,WOMEN'S POLITICAL COMMITTEE,2020,C00188193,150000.0
161,C00473918,WOMEN VOTE!,NEA ADVOCACY FUND,2020,C00489815,150000.0
162,C00473918,WOMEN VOTE!,OAK STRATEGIES,2020,H0NY17265,148794.0
163,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP,",2012,H0IL17059,148623.0
164,C00473918,WOMEN VOTE!,MOXIE MEDIA,2014,S4HI00144,148066.0
165,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,S0IA00176,145161.0
166,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY INC,2020,S6ME00159,145000.0
167,C00473918,WOMEN VOTE!,76 WORDS,2020,H4AR02141,141557.0
168,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC,",2012,H0AZ08056,139573.0
169,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,H4IA01077,139500.0
170,C00473918,WOMEN VOTE!,"ADELSTEIN,LISTON,",2012,H2HI02508,137720.0
171,C00473918,WOMEN VOTE!,PIVOT GROUP,2014,H4CA33101,136016.0
172,C00473918,WOMEN VOTE!,"MEDIA STRATEGIES AND RESEARCH,",2012,H0IL17059,133000.0
173,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP, INC",2016,H6NY03205,131806.0
174,C00193433,EMILY'S LIST,MISSION CONTROL INC,2010,S0MA00075,131209.0
175,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP, INC",2016,H8NY01148,127756.0
176,C00473918,WOMEN VOTE!,UNITED FOOD AND COMMERCIAL WORKERS,2022,C00002766,125000.0
177,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2022,H2CA00120,124820.0
178,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2016,H6DE00206,124208.0
179,C00473918,WOMEN VOTE!,"ADELSTEIN,LISTON,",2012,S2WI00268,121116.0
180,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,S0IA00150,120491.0
181,C00473918,WOMEN VOTE!,THE STRATEGY GROUP INC,2020,H8NY01148,119148.0
182,C00473918,WOMEN VOTE!,PRIORITIES USA,2016,P00003392,118622.0
183,C00473918,WOMEN VOTE!,MEDIA STATEGIES,2010,S0MA00109,117133.0
184,C00473918,WOMEN VOTE!,GRUNWALD COMMUNICATIONS,2022,S2WA00387,116072.0
185,C00473918,WOMEN VOTE!,THE NEW MEDIA FIRM,2020,H0MA04176,111874.0
186,C00473918,WOMEN VOTE!,"MOXIE MEDIA INC,",2012,H0WA02098,111408.0
187,C00473918,WOMEN VOTE!,"BLUEPRINT INTERACTIVE,",2012,S2NV00183,110000.0
188,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H0TX35015,109057.0
189,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2020,H8TX23121,109057.0
190,C00473918,WOMEN VOTE!,"THE PIVOT GROUP,",2012,H2CA35118,104198.0
191,C00473918,WOMEN VOTE!,"DIXON / DAVIS MEDIA GROUP, LLC",2020,S4IA00129,104008.0
192,C00473918,WOMEN VOTE!,"THE STRATEGY GROUP, INC",2016,H6MD04217,102375.0
193,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.,",2012,H8NM01257,100758.0
194,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,H6IN09176,100440.0
195,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.,",2012,H2CA00120,100316.0
196,C00473918,WOMEN VOTE!,EARN INTERNATIONAL UNION OF OPERATING ENGINEERS,2022,C00624817,100000.0
197,C00473918,WOMEN VOTE!,AMERICAN FEDERATION OF TEACHERS,2020,C00028860,100000.0
198,C00473918,WOMEN VOTE!,AMERICA VOTES ACTION FUND,2016,C00492520,100000.0
199,C00473918,WOMEN VOTE!,WAVELENGTH STRATEGY LLC,2022,H2AK01158,100000.0
200,C00473918,WOMEN VOTE!,SHEPARDSON STERN + KAMINSKY,2016,P00003392,100000.0
201,C00473918,WOMEN VOTE!,BRADY PAC,2020,C00674093,100000.0
202,C00473918,WOMEN VOTE!,PRIORITIES USA,2016,C00495861,100000.0
203,C00473918,WOMEN VOTE!,TRILOGY INTERACTIVE LLC,2022,H2OH09163,100000.0
204,C00473918,WOMEN VOTE!,LEAGUE OF CONSERVATION VOTERS PAC,2020,C00252940,100000.0
205,C00473918,WOMEN VOTE!,"NATIONAL ASSOCIATION OF LETTER CARRIERS, POLITICAL FUND",2020,C00023580,100000.0
206,C00473918,WOMEN VOTE!,WATERFRONT STRATEGIES,2016,H2IA01055,99510.0
207,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,H0MA04176,97649.0
208,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2020,H0MA04192,97649.0
209,C00473918,WOMEN VOTE!,"WATERFRONT STRATEGIES,",2012,H0AZ03321,96390.0
210,C00473918,WOMEN VOTE!,MOXIE MEDIA,2016,H5WA07458,95408.0
211,C00473918,WOMEN VOTE!,MOXIE MEDIA,2014,H4CA31055,95230.0
212,C00473918,WOMEN VOTE!,MOXIE MEDIA,2016,H6WA07458,94602.0
213,C00473918,WOMEN VOTE!,"THE PIVOT GROUP, INC.",2016,H6NY19169,94257.0
214,C00473918,WOMEN VOTE!,"WATERFRONT STRATEGIES,",2012,H0AZ08056,93778.0
